source_record_id,canonical_candidate_id,source_name,source_name_priority_marker,priority_shelter_raw,normalized_priority_interpretation,interpretation_evidence,manual_review_status,decision_note
odpem2019-pm-001,shelter_candidate_0001,Ascot High School (Priority),true,Ascot High School,priority_supported,Priority marker is printed in the same Shelter Name cell,resolved,Priority Shelter cell is corroborative but not used alone
odpem2019-pm-002,shelter_candidate_0002,Assembly of Rightousness (Priority),true,Assembly of Righteousness,priority_supported,Priority marker is printed in the same Shelter Name cell,resolved,Source spellings remain unchanged
odpem2019-pm-003,shelter_candidate_0003,Belmont Park Primary,false,,not_indicated_by_source,No priority marker or populated Priority Shelter cell,resolved,Does not assert non-priority status
odpem2019-pm-004,shelter_candidate_0004,Bethel Gospel Assembly,false,,not_indicated_by_source,No priority marker or populated Priority Shelter cell,resolved,Does not assert non-priority status
odpem2019-pm-005,shelter_candidate_0005,Breaton Primary,false,,not_indicated_by_source,No priority marker or populated Priority Shelter cell,resolved,Does not assert non-priority status
odpem2019-pm-006,shelter_candidate_0006,Bridgeport High,false,,not_indicated_by_source,No priority marker or populated Priority Shelter cell,resolved,Does not assert non-priority status
odpem2019-pm-007,shelter_candidate_0007,Clifton Basic School (Priority),true,Clifton Basic School,priority_supported,Priority marker is printed in the same Shelter Name cell,resolved,Priority Shelter cell is corroborative but not used alone
odpem2019-pm-008,shelter_candidate_0008,Cumberland High,false,,not_indicated_by_source,No priority marker or populated Priority Shelter cell,resolved,Does not assert non-priority status
odpem2019-pm-009,shelter_candidate_0009,Glad Tidings Church,false,,not_indicated_by_source,No priority marker or populated Priority Shelter cell,resolved,Does not assert non-priority status
odpem2019-pm-010,shelter_candidate_0010,Gregory Park Primary (Priority),true,Gregory Park Primary,priority_supported,Priority marker is printed in the same Shelter Name cell,resolved,Priority Shelter cell is corroborative but not used alone
odpem2019-pm-011,shelter_candidate_0011,Heart College of Construction Services (Priority),true,Heart College of Construction Services,priority_supported,Priority marker is printed in the same Shelter Name cell,resolved,Priority Shelter cell is corroborative but not used alone
odpem2019-pm-012,shelter_candidate_0012,Hellshire United Pentecostal Church,false,,not_indicated_by_source,No priority marker or populated Priority Shelter cell,resolved,Does not assert non-priority status
odpem2019-pm-013,shelter_candidate_0013,Independence City Primary,false,Kensington,unresolved,Populated Priority Shelter cell names the following Kensington record rather than this shelter,required,Do not assign priority to Independence City Primary from the displaced cell
odpem2019-pm-014,shelter_candidate_0014,Kensington (Priority),true,,priority_supported,Priority marker is printed in the same Shelter Name cell,resolved,Blank Priority Shelter cell is preserved; no value was moved from the prior row
odpem2019-pm-015,shelter_candidate_0015,Naggo Head Primary School (Priority),true,Naggo Head Primary School,priority_supported,Priority marker is printed in the same Shelter Name cell,resolved,Priority Shelter cell is corroborative but not used alone
odpem2019-pm-016,shelter_candidate_0016,Portsmouth Primary School(Priority),true,Portsmouth Primary School,priority_supported,Priority marker is printed in the same Shelter Name cell,resolved,Priority Shelter cell is corroborative but not used alone
odpem2019-pm-017,shelter_candidate_0017,Southborough Primary School (Priority),true,Southborough Primary School,priority_supported,Priority marker is printed in the same Shelter Name cell,resolved,Priority Shelter cell is corroborative but not used alone
odpem2019-pm-018,shelter_candidate_0018,Waterford Primary,false,,not_indicated_by_source,No priority marker or populated Priority Shelter cell,resolved,Does not assert non-priority status
odpem2019-out-001,shelter_candidate_0019,G.C Foster College,false,G.C Foster College,unresolved,Priority Shelter cell is populated but there is no same-row name marker,required,Do not derive normalized priority from the populated column alone
odpem2019-out-002,shelter_candidate_0020,National Arena,false,National Arena,unresolved,Priority Shelter cell is populated but there is no same-row name marker,required,Do not derive normalized priority from the populated column alone
