source_record_id,canonical_candidate_id,source_name,normalized_display_name_candidate,identity_evidence,possible_duplicate_group,identity_confidence,manual_review_status,decision_note
odpem2019-pm-001,shelter_candidate_0001,Ascot High School (Priority),Ascot High School,Exact facility and compatible address in official Portmore Municipal Council shelter listing,,high,resolved,One distinct candidate; priority marker is reviewed separately
odpem2019-pm-002,shelter_candidate_0002,Assembly of Rightousness (Priority),Assembly of Righteousness,Only the ODPEM source record currently establishes this identity,,low,required,Spelling candidate is not an identity merge
odpem2019-pm-003,shelter_candidate_0003,Belmont Park Primary,Belmont Park Primary,Exact facility and compatible address in official Portmore Municipal Council shelter listing,,high,resolved,One distinct candidate
odpem2019-pm-004,shelter_candidate_0004,Bethel Gospel Assembly,Bethel Gospel Assembly,Only the ODPEM source record currently establishes this identity,,low,required,No affirmative cross-source identity evidence located
odpem2019-pm-005,shelter_candidate_0005,Breaton Primary,Braeton Primary,Official Portmore Municipal Council listing uses Braeton Primary at Braeton Road,,high,resolved,Display-name spelling candidate only; source spelling remains unchanged
odpem2019-pm-006,shelter_candidate_0006,Bridgeport High,Bridgeport High School,Exact facility and address in official Portmore Municipal Council shelter listing,,high,resolved,One distinct candidate
odpem2019-pm-007,shelter_candidate_0007,Clifton Basic School (Priority),Clifton Basic School,Official Portmore Municipal Council listing and Early Childhood Commission record agree on Clifton Basic School in Clifton District/Bernard Lodge,,high,resolved,Identity corroborated; coordinate remains unresolved
odpem2019-pm-008,shelter_candidate_0008,Cumberland High,Cumberland High School,Exact facility and compatible address in official Portmore Municipal Council shelter listing,,high,resolved,One distinct candidate
odpem2019-pm-009,shelter_candidate_0009,Glad Tidings Church,Glad Tidings Church,"ODPEM 2019 and the official 2022/23 national shelter listing agree on Glad Tidings Church in Christian Pen, Gregory Park",,high,resolved,Identity corroborated across official shelter lists; coordinate remains unresolved
odpem2019-pm-010,shelter_candidate_0010,Gregory Park Primary (Priority),Gregory Park Primary School,Official municipal shelter listing and Ministry of Education 2018/19 directory agree on facility and address,,high,resolved,One distinct candidate
odpem2019-pm-011,shelter_candidate_0011,Heart College of Construction Services (Priority),HEART College of Construction Services,"Official municipal listing, HEART contact page, and HEART institutional history confirm the Waterford/Portmore institution",,high,resolved,Institution identity resolved; no coordinate accepted
odpem2019-pm-012,shelter_candidate_0012,Hellshire United Pentecostal Church,Hellshire United Pentecostal Church,Official municipal listing has Hellshire Pentecostal Tabernacle at a different printed address,,medium,required,Facility-name relationship requires manual confirmation
odpem2019-pm-013,shelter_candidate_0013,Independence City Primary,Independence City Primary School,Exact facility and address in official Portmore Municipal Council shelter listing,,high,resolved,Priority-column displacement is not treated as identity evidence
odpem2019-pm-014,shelter_candidate_0014,Kensington (Priority),Kensington Primary School,Official municipal and Ministry of Education evidence identifies Kensington Primary,,high,resolved,Priority-column displacement is preserved and reviewed separately
odpem2019-pm-015,shelter_candidate_0015,Naggo Head Primary School (Priority),Naggo Head Primary School,Official Portmore Municipal Council 2016 emergency-shelter list names Naggo Head Primary,,high,resolved,One distinct candidate
odpem2019-pm-016,shelter_candidate_0016,Portsmouth Primary School(Priority),Portsmouth Primary School,Official municipal listing and Ministry of Education 2018/19 directory agree on facility and locality,,high,resolved,One distinct candidate
odpem2019-pm-017,shelter_candidate_0017,Southborough Primary School (Priority),Southborough Primary School,"Official municipal listing, Ministry directory, and Southborough Primary institutional site agree on 1A Augusta Drive",,high,resolved,Institution identity resolved; no coordinate accepted
odpem2019-pm-018,shelter_candidate_0018,Waterford Primary,Waterford Primary School,Official municipal listing and Ministry of Education 2018/19 directory agree on facility and address,,high,resolved,One distinct candidate
odpem2019-out-001,shelter_candidate_0019,G.C Foster College,G.C. Foster College,Official Portmore Municipal Council 2016 page identifies G.C Foster as an outside-Portmore emergency shelter,,high,resolved,Retained pending spatial classification
odpem2019-out-002,shelter_candidate_0020,National Arena,National Arena,Official Portmore Municipal Council 2016 page identifies National Stadium while source specifies National Arena,,medium,required,Related complex is evident but exact facility association needs review
